job,threads,real_time_seconds
barnes,1,158.669
blackscholes,1,131.314
canneal,1,270.196
freqmine,1,517.052
radix,1,56.027
streamcluster,1,679.622
vips,1,110.061
barnes,2,97.560
blackscholes,2,87.023
canneal,2,207.706
freqmine,2,266.438
radix,2,31.960
streamcluster,2,392.773
vips,2,56.747
barnes,4,39.492
blackscholes,4,55.633
canneal,4,172.015
freqmine,4,206.718
radix,4,14.608
streamcluster,4,179.713
vips,4,28.622
barnes,8,28.671
blackscholes,8,55.650
canneal,8,103.165
freqmine,8,108.072
radix,8,10.353
streamcluster,8,117.273
vips,8,23.934
